departamento,modalidad,total_heridos
AMAZONAS,DESPISTE,89
LA LIBERTAD,ATROPELLO,13
TACNA,ATROPELLO,1
AMAZONAS,ESPECIAL,2
PASCO,CHOQUE,50
PASCO,DESPISTE,101
PUNO,N.I.,1
LORETO,ATROPELLO,11
APURIMAC,VOLCADURA,8
CUSCO,VOLCADURA,16
LA LIBERTAD,ESPECIAL,5
APURIMAC,N.I.,0
TUMBES,DESPISTE,14
CAJAMARCA,N.I.,2
PASCO,ESPECIAL,2
APURIMAC,ATROPELLO,2
LORETO,ESPECIAL,2
LAMBAYEQUE,VOLCADURA,0
CAJAMARCA,ESPECIAL,3
HUANUCO,VOLCADURA,1
UCAYALI,CHOQUE,134
ICA,DESPISTE,216
LAMBAYEQUE,DESPISTE,294
SAN MARTIN,ESPECIAL,8
N.I.,N.I.,1
PUNO,CHOQUE,317
N.I.,DESPISTE,1
LIMA,N.I.,9
PIURA,VOLCADURA,2
APURIMAC,DESPISTE,182
TUMBES,ESPECIAL,0
MOQUEGUA,ATROPELLO,0
ANCASH,N.I.,2
CAJAMARCA,VOLCADURA,9
AMAZONAS,ATROPELLO,2
AREQUIPA,VOLCADURA,37
PUNO,ATROPELLO,14
AREQUIPA,ESPECIAL,0
LIMA,CHOQUE,891
HUANCAVELICA,N.I.,0
ANCASH,DESPISTE,416
PIURA,CHOQUE,226
SAN MARTIN,VOLCADURA,1
TACNA,VOLCADURA,2
TUMBES,CHOQUE,23
LA LIBERTAD,DESPISTE,136
ICA,ESPECIAL,0
AMAZONAS,CHOQUE,108
HUANUCO,ATROPELLO,5
HUANCAVELICA,VOLCADURA,0
TACNA,CHOQUE,89
MOQUEGUA,DESPISTE,83
ANCASH,CHOQUE,318
AREQUIPA,ATROPELLO,5
HUANCAVELICA,DESPISTE,72
ICA,CHOQUE,287
TACNA,N.I.,1
UCAYALI,ESPECIAL,5
LA LIBERTAD,VOLCADURA,4
HUANUCO,CHOQUE,90
AMAZONAS,N.I.,0
APURIMAC,ESPECIAL,0
PUNO,ESPECIAL,1
PIURA,ATROPELLO,4
MOQUEGUA,ESPECIAL,0
AREQUIPA,CHOQUE,553
CAJAMARCA,CHOQUE,192
AYACUCHO,ESPECIAL,0
TACNA,DESPISTE,102
JUNIN,VOLCADURA,12
APURIMAC,CHOQUE,132
ICA,VOLCADURA,1
HUANUCO,DESPISTE,63
MADRE DE DIOS,ESPECIAL,3
LIMA,DESPISTE,756
PIURA,N.I.,4
CAJAMARCA,ATROPELLO,13
AREQUIPA,DESPISTE,413
LIMA,ATROPELLO,51
PIURA,DESPISTE,206
PUNO,VOLCADURA,10
JUNIN,ATROPELLO,15
HUANUCO,ESPECIAL,6
ANCASH,ATROPELLO,3
AYACUCHO,ATROPELLO,1
AYACUCHO,VOLCADURA,2
SAN MARTIN,N.I.,2
LORETO,CHOQUE,65
JUNIN,ESPECIAL,4
HUANCAVELICA,CHOQUE,21
LAMBAYEQUE,ESPECIAL,3
AREQUIPA,N.I.,0
ICA,ATROPELLO,28
MADRE DE DIOS,ATROPELLO,20
UCAYALI,ATROPELLO,8
MOQUEGUA,VOLCADURA,1
TACNA,ESPECIAL,5
HUANCAVELICA,ESPECIAL,2
CALLAO,CHOQUE,7
PIURA,ESPECIAL,0
ANCASH,VOLCADURA,7
LA LIBERTAD,N.I.,4
AMAZONAS,VOLCADURA,4
MADRE DE DIOS,VOLCADURA,2
MADRE DE DIOS,DESPISTE,67
LAMBAYEQUE,N.I.,0
UCAYALI,DESPISTE,64
CAJAMARCA,DESPISTE,229
JUNIN,CHOQUE,456
HUANCAVELICA,ATROPELLO,0
CUSCO,ATROPELLO,16
CUSCO,ESPECIAL,0
JUNIN,DESPISTE,396
LA LIBERTAD,CHOQUE,313
LORETO,DESPISTE,30
ANCASH,ESPECIAL,9
CUSCO,CHOQUE,253
LIMA,VOLCADURA,9
PUNO,DESPISTE,359
CALLAO,DESPISTE,1
MADRE DE DIOS,CHOQUE,117
N.I.,CHOQUE,6
AYACUCHO,DESPISTE,168
SAN MARTIN,DESPISTE,174
SAN MARTIN,CHOQUE,183
SAN MARTIN,ATROPELLO,8
CUSCO,DESPISTE,261
AYACUCHO,CHOQUE,113
LIMA,ESPECIAL,28
MOQUEGUA,CHOQUE,80
LAMBAYEQUE,ATROPELLO,19
LAMBAYEQUE,CHOQUE,270
HUANUCO,N.I.,3
