ts,job,elapsed_s,cpu_avg_pct,mem_avg_mb,app_id,stdout_log
2025-10-16 16:20:25,C1,27.23,176.16,1936.04,application_1760626664199_0004,run_C1_20251016_161956.log
2025-10-16 16:21:48,C2,25.02,183.36,1946.61,application_1760626664199_0005,run_C2_20251016_162121.log
2025-10-16 16:22:35,C3,26.29,180.55,1952.37,application_1760626664199_0006,run_C3_20251016_162207.log
2025-10-16 16:24:52,C4,79.17,155.56,1998.88,application_1760626664199_0009,run_C4_20251016_162331.log
2025-10-16 16:26:31,C5,81.17,154.28,2003.07,application_1760626664199_0012,run_C5_20251016_162508.log
2025-10-16 16:29:19,C6,81.17,155.51,2011.08,application_1760626664199_0015,run_C6_20251016_162756.log
2025-10-16 16:32:28,C7,138.75,143.96,2053.58,application_1760626664199_0020,run_C7_20251016_163007.log
2025-10-16 16:33:28,C8,25.68,202.84,1964.99,application_1760626664199_0021,run_C8_20251016_163300.log
2025-10-16 16:35:36,C9,28.89,185.73,1987.99,application_1760626664199_0022,run_C9_20251016_163505.log
